Day,Total,One,Two,Three,Four,Five,Six,Ranger
01/05/2015,68,27,12,11,12,6,0,0
02/05/2015,57,19,12,14,0,10,2,0
03/05/2015,73,24,21,16,8,4,0,0
04/05/2015,60,24,12,8,8,4,4,0
05/05/2015,59,23,23,8,5,0,0,0
06/05/2015,79,29,25,11,8,4,2,0
07/05/2015,65,24,17,6,14,0,4,0
08/05/2015,86,31,31,18,4,2,0,0
09/05/2015,67,25,23,5,6,8,0,0
10/05/2015,71,27,26,2,6,8,2,0
11/05/2015,74,32,14,16,8,2,2,0
12/05/2015,77,21,20,18,8,4,6,0
13/05/2015,85,24,32,11,12,4,2,0
14/05/2015,84,30,14,18,7,13,2,0
15/05/2015,83,26,29,14,7,7,0,0
16/05/2015,82,28,33,11,4,0,6,0
17/05/2015,68,23,24,9,8,4,0,0
18/05/2015,81,24,32,11,4,8,2,0
19/05/2015,78,23,28,11,12,4,0,0
20/05/2015,70,31,18,13,2,2,4,0
21/05/2015,85,41,21,10,9,2,2,0
22/05/2015,65,32,17,8,4,4,0,0
23/05/2015,77,28,27,12,6,2,2,0
24/05/2015,76,33,15,14,10,4,0,0
25/05/2015,84,32,22,12,14,4,0,0
26/05/2015,68,33,15,12,6,2,0,0
27/05/2015,66,31,15,18,2,0,0,0
28/05/2015,83,33,18,14,10,4,4,0
29/05/2015,74,21,25,15,10,3,0,0
30/05/2015,71,22,22,16,6,5,0,0
31/05/2015,78,29,23,8,2,12,4,0
01/06/2015,125,49,39,17,10,6,4,0
02/06/2015,128,52,30,33,9,4,0,0
03/06/2015,149,59,37,31,8,12,2,0
04/06/2015,161,67,37,29,10,10,8,0
05/06/2015,176,69,52,39,6,2,8,0
06/06/2015,175,76,63,24,8,2,2,0
07/06/2015,171,73,51,27,8,10,2,0
08/06/2015,177,82,45,26,13,5,6,0
09/06/2015,150,64,43,26,6,9,2,0
10/06/2015,172,73,51,27,15,2,4,0
11/06/2015,148,77,34,31,2,4,0,0
12/06/2015,176,87,51,26,2,4,6,0
13/06/2015,176,81,45,34,4,6,6,0
14/06/2015,165,80,40,27,4,4,10,0
15/06/2015,184,88,49,25,14,4,4,0
16/06/2015,192,85,52,28,7,18,2,0
17/06/2015,163,84,39,25,5,4,6,0
18/06/2015,176,68,57,28,11,8,4,0
19/06/2015,168,73,50,31,6,6,2,0
20/06/2015,207,93,61,40,3,2,8,0
21/06/2015,201,102,45,45,7,0,2,0
22/06/2015,184,76,54,36,14,4,0,0
23/06/2015,185,79,56,29,10,11,0,0
24/06/2015,216,95,59,45,8,3,6,0
25/06/2015,171,78,47,29,7,2,8,0
26/06/2015,171,72,55,28,10,6,0,0
27/06/2015,190,96,47,28,7,2,10,0
28/06/2015,169,68,44,41,8,4,4,0
29/06/2015,195,87,57,35,8,6,2,0
30/06/2015,176,79,62,27,6,2,0,0
01/07/2015,238,103,57,55,10,6,7,0
02/07/2015,217,103,76,25,6,4,3,0
03/07/2015,293,130,80,59,10,10,4,0
04/07/2015,282,122,90,55,7,8,0,0
05/07/2015,312,150,75,61,10,14,2,0
06/07/2015,232,93,72,45,8,14,0,0
07/07/2015,227,102,66,42,9,6,2,0
08/07/2015,246,109,67,60,6,2,2,0
09/07/2015,232,108,63,45,8,4,4,0
10/07/2015,295,130,96,39,14,10,6,0
11/07/2015,323,162,85,50,12,14,0,0
12/07/2015,276,130,67,63,10,2,4,0
13/07/2015,255,114,75,37,15,10,4,0
14/07/2015,236,101,48,43,24,14,6,0
15/07/2015,177,72,57,31,11,6,0,0
16/07/2015,214,107,53,39,9,6,0,0
17/07/2015,294,153,69,60,8,2,2,0
18/07/2015,254,117,78,40,12,7,0,0
19/07/2015,266,107,73,47,20,17,2,0
20/07/2015,239,107,59,49,10,11,3,0
21/07/2015,226,106,50,40,18,9,3,0
22/07/2015,216,105,51,40,8,8,4,0
23/07/2015,255,127,59,40,12,9,8,0
24/07/2015,307,148,73,56,13,7,10,0
25/07/2015,257,123,71,40,10,10,3,0
26/07/2015,264,119,75,53,8,6,3,0
27/07/2015,226,99,64,46,6,9,2,0
28/07/2015,213,100,51,49,8,3,2,0
29/07/2015,237,116,56,33,18,9,5,0
30/07/2015,260,110,66,54,12,9,9,0
31/07/2015,314,144,95,53,8,12,2,0
01/08/2015,249,112,72,38,12,11,4,0
02/08/2015,272,138,57,47,20,6,4,0
03/08/2015,227,103,52,43,12,15,2,0
04/08/2015,206,93,55,35,11,12,0,0
05/08/2015,188,85,47,36,16,2,2,0
