Day,Total,1,2,3,4,5,6,2P
01/05/2015,10,0,0,0,0,0,0,10
02/05/2015,16,0,0,0,0,0,0,16
03/05/2015,13,0,0,0,0,0,0,13
04/05/2015,21,0,0,0,0,0,0,21
05/05/2015,12,0,0,0,3,0,0,9
06/05/2015,9,0,0,0,0,0,0,9
07/05/2015,5,0,0,0,0,0,0,5
08/05/2015,15,0,0,0,0,0,0,15
09/05/2015,6,0,0,0,0,0,0,6
10/05/2015,22,0,0,0,0,0,0,22
11/05/2015,15,0,0,0,0,0,0,15
12/05/2015,18,0,0,0,0,0,0,18
13/05/2015,10,0,0,0,0,0,0,10
14/05/2015,10,0,0,0,0,0,0,10
15/05/2015,23,0,0,0,0,0,0,23
16/05/2015,6,0,0,0,0,0,0,6
17/05/2015,8,0,0,0,0,0,0,8
18/05/2015,5,0,0,0,0,0,0,5
19/05/2015,7,0,0,0,0,0,0,7
20/05/2015,9,0,0,0,0,0,0,9
21/05/2015,17,0,0,0,3,0,0,14
22/05/2015,13,0,0,0,0,0,0,13
23/05/2015,12,0,0,0,0,0,0,12
24/05/2015,6,0,0,0,0,0,0,6
25/05/2015,25,0,0,0,0,0,0,25
26/05/2015,15,0,0,0,0,0,0,15
27/05/2015,12,0,0,0,0,0,0,12
28/05/2015,16,0,0,0,0,0,0,16
29/05/2015,17,0,0,0,0,0,0,17
30/05/2015,13,0,0,0,0,0,0,13
31/05/2015,14,0,0,0,0,0,0,14
01/06/2015,12,0,0,0,0,0,0,12
02/06/2015,17,0,0,0,3,0,0,14
03/06/2015,4,0,0,0,0,0,0,4
04/06/2015,12,0,0,0,0,0,0,12
05/06/2015,21,0,0,0,0,0,0,21
06/06/2015,12,0,0,0,0,0,0,12
07/06/2015,15,0,0,0,0,0,0,15
08/06/2015,10,0,0,0,0,0,0,10
09/06/2015,6,0,0,0,0,0,0,6
10/06/2015,21,0,0,0,0,0,0,21
11/06/2015,7,0,0,0,0,0,0,7
12/06/2015,13,0,0,0,0,0,0,13
13/06/2015,7,0,0,0,0,0,0,7
14/06/2015,12,0,0,0,0,0,0,12
15/06/2015,20,0,0,0,0,0,0,20
16/06/2015,19,0,0,0,3,0,0,16
17/06/2015,1,0,0,0,0,0,0,1
18/06/2015,4,0,0,0,0,0,0,4
19/06/2015,10,0,0,0,0,0,0,10
20/06/2015,16,0,0,0,0,0,0,16
21/06/2015,8,0,0,0,0,0,0,8
22/06/2015,8,0,0,0,0,0,0,8
23/06/2015,17,0,0,0,0,0,0,17
24/06/2015,6,0,0,0,0,0,0,6
25/06/2015,20,0,0,0,3,0,0,17
26/06/2015,8,0,0,0,0,0,0,8
27/06/2015,15,0,0,0,0,0,0,15
28/06/2015,14,0,0,0,0,0,0,14
29/06/2015,5,0,0,0,0,0,0,5
30/06/2015,11,0,0,0,0,0,0,11
01/07/2015,5,0,0,0,0,0,0,5
02/07/2015,9,0,0,0,0,0,0,9
03/07/2015,8,0,0,0,0,0,0,8
04/07/2015,14,0,0,0,0,0,0,14
05/07/2015,8,0,0,0,0,0,0,8
06/07/2015,6,0,0,0,0,0,0,6
07/07/2015,15,0,0,0,3,0,0,12
08/07/2015,12,0,0,0,0,0,0,12
09/07/2015,4,0,0,0,0,0,0,4
10/07/2015,7,0,0,0,0,0,0,7
11/07/2015,18,0,0,0,0,0,0,18
12/07/2015,4,0,0,0,0,0,0,4
13/07/2015,5,0,0,0,0,0,0,5
14/07/2015,8,0,0,0,3,0,0,5
15/07/2015,4,0,0,0,0,0,0,4
16/07/2015,7,0,0,0,0,0,0,7
17/07/2015,12,0,0,0,0,0,0,12
18/07/2015,6,0,0,0,0,0,0,6
19/07/2015,14,0,0,0,0,0,0,14
20/07/2015,10,0,0,0,0,0,0,10
21/07/2015,14,0,0,0,0,0,0,14
22/07/2015,13,0,0,0,0,0,0,13
23/07/2015,7,0,0,0,3,0,0,4
24/07/2015,10,0,0,0,0,0,0,10
25/07/2015,8,0,0,0,0,0,0,8
26/07/2015,22,0,0,0,0,0,0,22
27/07/2015,13,0,0,0,0,0,0,13
28/07/2015,5,0,0,0,0,0,0,5
29/07/2015,10,0,0,0,0,0,0,10
30/07/2015,4,0,0,0,0,0,0,4
31/07/2015,9,0,0,0,0,0,0,9
01/08/2015,8,0,0,0,0,0,0,8
02/08/2015,4,0,0,0,0,0,0,4
03/08/2015,5,0,0,0,0,0,0,5
04/08/2015,11,0,0,0,3,0,0,8
05/08/2015,1,0,0,0,0,0,0,1
06/08/2015,14,0,0,0,0,0,0,14
07/08/2015,7,0,0,0,0,0,0,7
08/08/2015,11,0,0,0,0,0,0,11
09/08/2015,12,0,0,0,0,0,0,12
10/08/2015,15,0,0,0,0,0,0,15
11/08/2015,20,0,0,0,0,0,0,20
12/08/2015,11,0,0,0,0,0,0,11
13/08/2015,7,0,0,0,0,0,0,7
14/08/2015,8,0,0,0,0,0,0,8
15/08/2015,9,0,0,0,0,0,0,9
16/08/2015,12,0,0,0,0,0,0,12
17/08/2015,17,0,0,0,0,0,0,17
18/08/2015,4,0,0,0,0,0,0,4
19/08/2015,7,0,0,0,0,0,0,7
20/08/2015,12,0,0,0,3,0,0,9
21/08/2015,14,0,0,0,0,0,0,14
22/08/2015,17,0,0,0,0,0,0,17
23/08/2015,3,0,0,0,0,0,0,3
24/08/2015,9,0,0,0,0,0,0,9
25/08/2015,12,0,0,0,0,0,0,12
26/08/2015,20,0,0,0,0,0,0,20
27/08/2015,5,0,0,0,0,0,0,5
28/08/2015,7,0,0,0,0,0,0,7
29/08/2015,6,0,0,0,0,0,0,6
30/08/2015,11,0,0,0,0,0,0,11
31/08/2015,14,0,0,0,0,0,0,14
01/09/2015,12,0,0,0,3,0,0,9
02/09/2015,16,0,0,0,0,0,0,16
03/09/2015,9,0,0,0,0,0,0,9
04/09/2015,13,0,0,0,0,0,0,13
05/09/2015,12,0,0,0,0,0,0,12
06/09/2015,13,0,0,0,0,0,0,13
07/09/2015,18,0,0,0,0,0,0,18
08/09/2015,4,0,0,0,0,0,0,4
09/09/2015,14,0,0,0,0,0,0,14
10/09/2015,6,0,0,0,0,0,0,6
11/09/2015,7,0,0,0,0,0,0,7
12/09/2015,7,0,0,0,0,0,0,7
13/09/2015,16,0,0,0,0,0,0,16
14/09/2015,7,0,0,0,0,0,0,7
15/09/2015,12,0,0,0,3,0,0,9
16/09/2015,5,0,0,0,0,0,0,5
17/09/2015,7,0,0,0,0,0,0,7
18/09/2015,17,0,0,0,0,0,0,17
19/09/2015,5,0,0,0,0,0,0,5
20/09/2015,20,0,0,0,0,0,0,20
21/09/2015,1,0,0,0,0,0,0,1
22/09/2015,6,0,0,0,0,0,0,6
23/09/2015,4,0,0,0,0,0,0,4
24/09/2015,4,0,0,0,0,0,0,4
25/09/2015,12,0,0,0,0,0,0,12
26/09/2015,3,0,0,0,0,0,0,3
27/09/2015,10,0,0,0,0,0,0,10
28/09/2015,20,0,0,0,0,0,0,20
29/09/2015,2,0,0,0,0,0,0,2
30/09/2015,16,0,0,0,0,0,0,16
01/10/2015,14,0,0,0,3,0,0,11
02/10/2015,2,0,0,0,0,0,0,2
03/10/2015,6,0,0,0,0,0,0,6
04/10/2015,8,0,0,0,0,0,0,8
05/10/2015,7,0,0,0,0,0,0,7
06/10/2015,5,0,0,0,0,0,0,5
07/10/2015,4,0,0,0,0,0,0,4
08/10/2015,12,0,0,0,0,0,0,12
09/10/2015,5,0,0,0,0,0,0,5
10/10/2015,2,0,0,0,0,0,0,2
11/10/2015,3,0,0,0,0,0,0,3
12/10/2015,15,0,0,0,0,0,0,15
13/10/2015,21,0,0,0,0,0,0,21
14/10/2015,17,0,0,0,0,0,0,17
15/10/2015,17,0,0,0,0,0,0,17
16/10/2015,10,0,0,0,0,0,0,10
17/10/2015,21,0,0,0,0,0,0,21
18/10/2015,17,0,0,0,0,0,0,17
19/10/2015,11,0,0,0,0,0,0,11
