Day	Total	1	2	3	4	5	6	2P
01/05/2015 05:50	1	1	0	0	0	0	0	0
01/05/2015 08:12	1	1	0	0	0	0	0	0
01/05/2015 11:00	1	1	0	0	0	0	0	0
02/05/2015 08:36	1	1	0	0	0	0	0	0
02/05/2015 17:34	1	0	0	1	0	0	0	0
03/05/2015 16:01	1	0	0	1	0	0	0	0
04/05/2015 15:56	1	1	0	0	0	0	0	0
05/05/2015 07:35	1	1	0	0	0	0	0	0
05/05/2015 13:29	1	1	0	0	0	0	0	0
06/05/2015 10:52	1	0	1	0	0	0	0	0
06/05/2015 12:54	1	0	0	1	0	0	0	0
06/05/2015 17:10	1	1	0	0	0	0	0	0
07/05/2015 06:27	1	1	0	0	0	0	0	0
07/05/2015 13:00	1	1	0	0	0	0	0	0
07/05/2015 17:21	1	0	0	1	0	0	0	0
08/05/2015 12:24	1	1	0	0	0	0	0	0
08/05/2015 15:27	1	0	1	0	0	0	0	0
09/05/2015 07:03	1	1	0	0	0	0	0	0
09/05/2015 08:55	1	1	0	0	0	0	0	0
09/05/2015 12:00	2	2	0	0	0	0	0	0
09/05/2015 17:53	1	0	1	0	0	0	0	0
10/05/2015 06:09	1	1	0	0	0	0	0	0
10/05/2015 11:06	1	1	0	0	0	0	0	0
10/05/2015 11:58	1	1	0	0	0	0	0	0
10/05/2015 15:45	1	0	0	1	0	0	0	0
10/05/2015 18:38	1	1	0	0	0	0	0	0
12/05/2015 08:31	1	0	0	1	0	0	0	0
12/05/2015 12:39	1	1	0	0	0	0	0	0
12/05/2015 13:30	1	1	0	0	0	0	0	0
12/05/2015 17:26	1	1	0	0	0	0	0	0
12/05/2015 18:53	1	0	0	1	0	0	0	0
13/05/2015 08:08	1	0	1	0	0	0	0	0
13/05/2015 08:45	1	0	1	0	0	0	0	0
13/05/2015 11:58	1	1	0	0	0	0	0	0
13/05/2015 12:00	1	0	1	0	0	0	0	0
13/05/2015 17:47	1	0	1	0	0	0	0	0
13/05/2015 20:09	1	0	1	0	0	0	0	0
14/05/2015 13:51	1	1	0	0	0	0	0	0
15/05/2015 18:53	1	1	0	0	0	0	0	0
16/05/2015 11:11	1	0	1	0	0	0	0	0
16/05/2015 14:58	1	0	0	1	0	0	0	0
17/05/2015 09:13	1	1	0	0	0	0	0	0
18/05/2015 06:06	1	1	0	0	0	0	0	0
18/05/2015 08:23	1	0	0	1	0	0	0	0
18/05/2015 10:00	1	1	0	0	0	0	0	0
18/05/2015 13:00	1	0	0	1	0	0	0	0
18/05/2015 20:22	1	1	0	0	0	0	0	0
18/05/2015 22:19	1	1	0	0	0	0	0	0
19/05/2015 09:41	1	0	0	0	0	0	0	1
19/05/2015 10:35	1	0	0	0	0	0	0	1
19/05/2015 13:15	1	0	1	0	0	0	0	0
