Day,Total,1,2,3,4,5,6,2P
02/05/2015,2,0,1,1,0,0,0,0
03/05/2015,3,2,0,1,0,0,0,0
05/05/2015,2,2,0,0,0,0,0,0
07/05/2015,2,0,1,1,0,0,0,0
08/05/2015,2,2,0,0,0,0,0,0
09/05/2015,4,4,0,0,0,0,0,0
10/05/2015,2,1,1,0,0,0,0,0
11/05/2015,3,3,0,0,0,0,0,0
12/05/2015,1,0,0,1,0,0,0,0
13/05/2015,2,0,1,1,0,0,0,0
14/05/2015,2,1,0,0,0,0,0,1
15/05/2015,4,3,0,1,0,0,0,0
16/05/2015,2,0,2,0,0,0,0,0
17/05/2015,5,2,3,0,0,0,0,0
18/05/2015,4,3,0,1,0,0,0,0
19/05/2015,6,3,3,0,0,0,0,0
20/05/2015,5,3,2,0,0,0,0,0
21/05/2015,3,0,3,0,0,0,0,0
22/05/2015,4,2,1,1,0,0,0,0
23/05/2015,3,0,0,3,0,0,0,0
24/05/2015,5,1,3,1,0,0,0,0
25/05/2015,2,0,1,1,0,0,0,0
26/05/2015,3,2,1,0,0,0,0,0
27/05/2015,3,1,0,1,0,0,0,1
28/05/2015,2,0,0,2,0,0,0,0
29/05/2015,1,0,1,0,0,0,0,0
30/05/2015,8,3,2,3,0,0,0,0
31/05/2015,2,0,1,1,0,0,0,0
01/06/2015,5,3,2,0,0,0,0,0
02/06/2015,8,4,3,1,0,0,0,0
03/06/2015,11,7,3,1,0,0,0,0
04/06/2015,13,9,4,0,0,0,0,0
05/06/2015,12,8,4,0,0,0,0,0
06/06/2015,10,4,5,1,0,0,0,0
07/06/2015,16,8,4,4,0,0,0,0
08/06/2015,15,9,3,3,0,0,0,0
09/06/2015,11,3,6,2,0,0,0,0
10/06/2015,13,9,2,1,0,0,0,1
11/06/2015,15,11,2,2,0,0,0,0
12/06/2015,15,9,5,1,0,0,0,0
13/06/2015,16,9,3,4,0,0,0,0
14/06/2015,13,7,2,3,0,0,0,1
15/06/2015,18,12,4,2,0,0,0,0
16/06/2015,14,9,2,3,0,0,0,0
17/06/2015,13,7,3,3,0,0,0,0
18/06/2015,13,8,2,3,0,0,0,0
19/06/2015,19,11,5,3,0,0,0,0
20/06/2015,18,10,5,2,0,0,0,1
21/06/2015,22,12,6,4,0,0,0,0
22/06/2015,19,8,7,4,0,0,0,0
23/06/2015,11,4,5,2,0,0,0,0
24/06/2015,15,7,6,2,0,0,0,0
25/06/2015,14,4,8,2,0,0,0,0
26/06/2015,16,6,6,4,0,0,0,0
27/06/2015,22,13,8,1,0,0,0,0
28/06/2015,14,8,4,2,0,0,0,0
29/06/2015,21,12,7,2,0,0,0,0
30/06/2015,14,10,3,1,0,0,0,0
01/07/2015,25,15,9,1,0,0,0,0
02/07/2015,17,11,4,2,0,0,0,0
03/07/2015,23,10,6,7,0,0,0,0
04/07/2015,31,13,11,7,0,0,0,0
05/07/2015,33,16,12,5,0,0,0,0
06/07/2015,26,13,8,5,0,0,0,0
07/07/2015,22,10,8,4,0,0,0,0
08/07/2015,16,7,5,4,0,0,0,0
09/07/2015,24,16,4,4,0,0,0,0
10/07/2015,30,13,11,6,0,0,0,0
11/07/2015,34,21,7,6,0,0,0,0
12/07/2015,21,9,5,7,0,0,0,0
13/07/2015,30,15,11,4,0,0,0,0
14/07/2015,19,9,7,3,0,0,0,0
15/07/2015,16,9,6,1,0,0,0,0
16/07/2015,17,11,4,2,0,0,0,0
17/07/2015,31,19,8,4,0,0,0,0
18/07/2015,24,11,8,5,0,0,0,0
19/07/2015,26,11,9,5,0,0,0,1
20/07/2015,22,10,4,8,0,0,0,0
21/07/2015,23,8,8,7,0,0,0,0
22/07/2015,22,11,8,3,0,0,0,0
23/07/2015,24,16,5,3,0,0,0,0
24/07/2015,31,16,8,7,0,0,0,0
25/07/2015,26,17,6,3,0,0,0,0
26/07/2015,41,20,15,6,0,0,0,0
27/07/2015,16,11,3,2,0,0,0,0
28/07/2015,17,10,2,5,0,0,0,0
29/07/2015,18,10,7,1,0,0,0,0
30/07/2015,18,9,5,4,0,0,0,0
31/07/2015,30,13,12,5,0,0,0,0
01/08/2015,29,16,12,1,0,0,0,0
02/08/2015,30,19,8,3,0,0,0,0
03/08/2015,25,14,6,5,0,0,0,0
04/08/2015,14,3,5,6,0,0,0,0
05/08/2015,11,4,4,3,0,0,0,0
06/08/2015,10,4,6,0,0,0,0,0
07/08/2015,24,14,7,3,0,0,0,0
08/08/2015,15,8,4,3,0,0,0,0
09/08/2015,22,13,5,3,0,0,0,1
10/08/2015,25,14,6,4,0,0,0,1
11/08/2015,21,10,8,3,0,0,0,0
12/08/2015,20,13,4,3,0,0,0,0
13/08/2015,20,14,2,4,0,0,0,0
14/08/2015,25,13,7,5,0,0,0,0
15/08/2015,18,8,5,5,0,0,0,0
16/08/2015,10,8,1,1,0,0,0,0
17/08/2015,18,7,7,4,0,0,0,0
18/08/2015,20,15,3,2,0,0,0,0
19/08/2015,21,15,3,3,0,0,0,0
20/08/2015,14,9,4,1,0,0,0,0
21/08/2015,18,9,5,3,0,0,0,1
22/08/2015,23,12,8,3,0,0,0,0
23/08/2015,20,10,8,2,0,0,0,0
24/08/2015,12,5,3,4,0,0,0,0
25/08/2015,24,11,8,5,0,0,0,0
26/08/2015,15,5,6,3,0,0,0,1
27/08/2015,20,11,6,3,0,0,0,0
28/08/2015,17,6,8,3,0,0,0,0
29/08/2015,16,7,7,2,0,0,0,0
30/08/2015,23,9,7,7,0,0,0,0
31/08/2015,12,4,4,4,0,0,0,0
01/09/2015,19,13,4,2,0,0,0,0
02/09/2015,13,6,4,3,0,0,0,0
03/09/2015,15,7,4,4,0,0,0,0
04/09/2015,15,8,5,2,0,0,0,0
05/09/2015,17,6,4,6,0,0,0,1
06/09/2015,11,7,2,2,0,0,0,0
07/09/2015,6,1,1,3,0,0,0,1
08/09/2015,7,3,3,1,0,0,0,0
09/09/2015,7,2,3,2,0,0,0,0
10/09/2015,11,6,2,3,0,0,0,0
11/09/2015,21,11,6,4,0,0,0,0
12/09/2015,15,9,6,0,0,0,0,0
13/09/2015,13,10,3,0,0,0,0,0
14/09/2015,14,8,3,3,0,0,0,0
15/09/2015,11,4,6,1,0,0,0,0
16/09/2015,11,5,6,0,0,0,0,0
17/09/2015,16,6,7,3,0,0,0,0
18/09/2015,14,3,8,3,0,0,0,0
19/09/2015,12,7,5,0,0,0,0,0
20/09/2015,16,4,9,3,0,0,0,0
21/09/2015,14,7,4,3,0,0,0,0
22/09/2015,9,2,3,4,0,0,0,0
23/09/2015,17,9,5,3,0,0,0,0
24/09/2015,6,3,2,1,0,0,0,0
25/09/2015,18,7,7,4,0,0,0,0
26/09/2015,15,6,6,3,0,0,0,0
