Day,Total,1,2,3,4,5,6,2P
01/05/2015,6,4,1,1,0,0,0,0
02/05/2015,11,3,3,4,0,1,0,0
03/05/2015,17,6,6,1,4,0,0,0
04/05/2015,13,9,1,1,1,0,1,0
05/05/2015,13,3,8,1,1,0,0,0
06/05/2015,15,2,8,3,1,0,1,0
07/05/2015,17,6,3,2,5,0,1,0
08/05/2015,16,5,6,4,0,1,0,0
09/05/2015,16,5,6,0,2,3,0,0
10/05/2015,18,6,9,0,1,2,0,0
11/05/2015,21,8,3,6,3,1,0,0
12/05/2015,10,4,2,2,0,1,1,0
13/05/2015,18,4,7,3,4,0,0,0
14/05/2015,10,2,4,1,1,2,0,0
15/05/2015,15,5,5,4,0,1,0,0
16/05/2015,12,6,4,1,1,0,0,0
17/05/2015,12,4,4,1,2,1,0,0
18/05/2015,17,5,6,1,2,2,1,0
19/05/2015,17,3,7,2,4,1,0,0
20/05/2015,16,9,3,2,0,1,1,0
21/05/2015,16,10,3,2,1,0,0,0
22/05/2015,11,7,2,1,0,1,0,0
23/05/2015,19,6,8,3,1,0,1,0
24/05/2015,14,4,3,4,2,1,0,0
25/05/2015,18,5,5,4,3,1,0,0
26/05/2015,17,8,3,3,2,1,0,0
27/05/2015,13,4,5,3,1,0,0,0
28/05/2015,17,6,3,4,3,0,1,0
29/05/2015,9,2,2,4,1,0,0,0
30/05/2015,15,3,5,3,1,3,0,0
31/05/2015,18,6,4,2,0,4,2,0
01/06/2015,22,11,4,2,4,1,0,0
02/06/2015,22,9,4,7,2,0,0,0
03/06/2015,28,7,12,7,1,1,0,0
04/06/2015,26,11,7,6,1,1,0,0
05/06/2015,42,20,11,8,1,1,1,0
06/06/2015,21,10,5,3,2,0,1,0
07/06/2015,33,16,7,7,2,1,0,0
08/06/2015,39,20,8,4,4,1,2,0
09/06/2015,28,13,7,6,0,2,0,0
10/06/2015,30,16,9,3,2,0,0,0
11/06/2015,34,19,9,6,0,0,0,0
12/06/2015,40,23,7,9,1,0,0,0
13/06/2015,30,16,3,6,1,2,2,0
14/06/2015,33,17,5,7,1,1,2,0
15/06/2015,35,15,7,7,4,1,1,0
16/06/2015,27,10,9,4,1,2,1,0
17/06/2015,22,6,7,5,2,0,2,0
18/06/2015,32,15,12,4,1,0,0,0
19/06/2015,27,12,6,7,2,0,0,0
20/06/2015,41,15,14,9,1,1,1,0
21/06/2015,36,21,6,7,1,0,1,0
22/06/2015,32,11,13,7,1,0,0,0
23/06/2015,32,16,11,4,1,0,0,0
24/06/2015,39,21,8,6,2,2,0,0
25/06/2015,43,15,13,9,2,1,3,0
26/06/2015,34,18,8,8,0,0,0,0
27/06/2015,40,21,8,4,2,1,4,0
28/06/2015,30,13,8,7,1,1,0,0
29/06/2015,35,9,14,8,3,1,0,0
30/06/2015,32,17,10,3,1,1,0,0
01/07/2015,52,23,14,12,2,1,0,0
02/07/2015,41,19,12,7,1,1,1,0
03/07/2015,51,23,19,6,1,0,2,0
04/07/2015,54,20,18,12,2,2,0,0
05/07/2015,60,29,16,9,2,4,0,0
06/07/2015,41,19,10,8,2,2,0,0
07/07/2015,41,18,12,9,0,2,0,0
08/07/2015,37,17,8,11,1,0,0,0
09/07/2015,32,16,8,6,1,1,0,0
