Day	Total	One	Two	Three	Four	Five	Six	Ranger
1-5-2015	11	6	2	3	0	0	0	0
2-5-2015	13	4	4	5	0	0	0	0
3-5-2015	17	10	2	4	0	0	0	1
4-5-2015	13	4	5	4	0	0	0	0
5-5-2015	10	5	3	2	0	0	0	0
6-5-2015	10	6	3	1	0	0	0	0
7-5-2015	14	9	2	3	0	0	0	0
8-5-2015	21	13	7	0	0	0	0	1
9-5-2015	24	14	8	1	0	0	0	1
10-5-2015	14	6	6	2	0	0	0	0
11-5-2015	25	12	8	5	0	0	0	0
12-5-2015	24	9	9	6	0	0	0	0
13-5-2015	20	8	10	1	0	0	0	1
14-5-2015	19	11	5	2	0	0	0	1
15-5-2015	20	9	6	4	0	0	0	1
16-5-2015	18	5	11	0	0	0	0	2
17-5-2015	21	9	7	3	0	0	0	2
18-5-2015	22	10	6	6	0	0	0	0
19-5-2015	22	12	7	1	0	0	0	2
20-5-2015	21	10	5	5	0	0	0	1
21-5-2015	18	6	7	3	0	0	0	2
22-5-2015	25	14	7	1	0	0	0	3
23-5-2015	31	11	12	7	0	0	0	1
24-5-2015	25	13	8	4	0	0	0	0
25-5-2015	19	9	6	2	0	0	0	2
26-5-2015	23	13	6	2	0	0	0	2
27-5-2015	23	11	5	4	0	0	0	3
28-5-2015	17	9	3	4	0	0	0	1
29-5-2015	20	9	8	2	0	0	0	1
30-5-2015	25	12	6	6	0	0	0	1
31-5-2015	19	6	7	5	0	0	0	1
1-6-2015	35	19	12	4	0	0	0	0
2-6-2015	53	27	17	9	0	0	0	0
3-6-2015	53	26	18	9	0	0	0	0
4-6-2015	76	38	23	15	0	0	0	0
5-6-2015	78	38	24	16	0	0	0	0
6-6-2015	77	32	31	14	0	0	0	0
7-6-2015	93	46	33	12	0	0	0	2
8-6-2015	70	42	18	10	0	0	0	0
9-6-2015	70	33	25	12	0	0	0	0
10-6-2015	69	37	21	10	0	0	0	1
11-6-2015	76	43	23	10	0	0	0	0
12-6-2015	84	46	23	15	0	0	0	0
13-6-2015	88	43	27	17	0	0	0	1
14-6-2015	96	53	26	16	0	0	0	1
15-6-2015	88	54	22	11	0	0	0	1
16-6-2015	80	41	17	21	0	0	0	1
17-6-2015	90	55	19	16	0	0	0	0
18-6-2015	75	36	25	14	0	0	0	0
19-6-2015	105	55	30	20	0	0	0	0
20-6-2015	106	58	31	16	0	0	0	1
21-6-2015	112	50	36	22	0	0	0	4
22-6-2015	100	45	32	20	0	0	0	3
23-6-2015	90	40	30	17	0	0	0	3
24-6-2015	104	47	31	26	0	0	0	0
25-6-2015	96	45	34	16	0	0	0	1
26-6-2015	96	53	26	17	0	0	0	0
27-6-2015	95	51	29	15	0	0	0	0
28-6-2015	91	39	30	21	0	0	0	1
29-6-2015	115	59	37	19	0	0	0	0
30-6-2015	91	46	28	17	0	0	0	0
1-7-2015	133	66	39	28	0	0	0	0
2-7-2015	100	47	35	17	0	0	0	1
3-7-2015	157	78	45	34	0	0	0	0
4-7-2015	168	84	54	30	0	0	0	0
5-7-2015	186	91	53	41	0	0	0	1
6-7-2015	125	47	51	26	0	0	0	1
7-7-2015	120	56	38	26	0	0	0	0
8-7-2015	137	58	44	35	0	0	0	0
9-7-2015	142	76	37	29	0	0	0	0
10-7-2015	146	66	56	23	0	0	0	1
11-7-2015	159	83	44	32	0	0	0	0
12-7-2015	165	75	47	42	0	0	0	1
13-7-2015	143	75	45	23	0	0	0	0
14-7-2015	108	54	30	24	0	0	0	0
15-7-2015	92	44	31	17	0	0	0	0
16-7-2015	112	60	33	18	0	0	0	1
17-7-2015	164	92	35	37	0	0	0	0
18-7-2015	143	75	44	24	0	0	0	0
19-7-2015	155	71	53	30	0	0	0	1
20-7-2015	124	63	34	26	0	0	0	1
21-7-2015	120	58	35	27	0	0	0	0
22-7-2015	127	67	33	24	0	0	0	3
23-7-2015	134	76	31	24	0	0	0	3
24-7-2015	174	92	47	35	0	0	0	0
