Day	Total	1	2	3	4	5	6	2P
1-5-2015	112	46	18	16	18	4	0	10
2-5-2015	97	34	21	26	0	8	1	7
3-5-2015	98	41	21	21	7	2	0	6
4-5-2015	102	28	23	21	12	2	6	10
5-5-2015	82	39	19	13	5	0	0	6
6-5-2015	113	48	38	11	6	7	0	3
7-5-2015	80	27	27	6	11	0	4	5
8-5-2015	123	55	37	23	0	2	0	6
9-5-2015	127	54	37	10	9	10	0	7
10-5-2015	106	37	29	9	3	14	0	14
11-5-2015	118	50	27	22	8	2	0	9
12-5-2015	137	38	33	31	8	3	10	14
13-5-2015	128	44	48	13	13	4	0	6
14-5-2015	141	58	24	22	9	16	3	9
15-5-2015	145	35	56	19	13	7	0	15
16-5-2015	128	43	43	17	6	0	6	13
17-5-2015	137	40	48	16	12	7	0	14
18-5-2015	112	33	44	17	5	9	3	1
19-5-2015	111	31	44	17	8	2	0	9
20-5-2015	114	60	23	14	2	3	3	9
21-5-2015	120	53	27	13	8	3	5	11
22-5-2015	104	47	32	8	5	5	0	7
23-5-2015	119	44	38	26	4	1	0	6
24-5-2015	133	58	25	25	8	5	0	12
25-5-2015	129	46	30	22	12	2	0	17
26-5-2015	80	43	20	8	2	2	0	5
27-5-2015	101	51	24	15	3	0	0	8
28-5-2015	121	44	21	19	11	6	8	12
29-5-2015	128	35	41	26	19	3	0	4
30-5-2015	127	44	29	31	11	4	0	8
31-5-2015	118	37	40	15	2	9	4	11
1-6-2015	234	84	81	34	12	13	3	7
2-6-2015	221	79	60	61	11	4	0	6
3-6-2015	259	129	52	50	5	16	0	7
4-6-2015	286	124	75	53	12	9	9	4
5-6-2015	287	109	84	57	8	0	11	18
6-6-2015	332	123	142	51	4	4	2	6
7-6-2015	311	154	84	42	9	15	2	5
8-6-2015	287	157	57	46	11	3	8	5
9-6-2015	260	103	89	41	12	6	3	6
10-6-2015	332	144	105	48	14	0	8	13
11-6-2015	273	146	59	54	0	8	0	6
12-6-2015	305	139	94	45	3	5	7	12
13-6-2015	332	158	89	61	3	9	8	4
14-6-2015	356	172	102	63	2	6	7	4
15-6-2015	339	186	75	42	17	2	4	13
16-6-2015	351	170	84	60	4	19	2	12
17-6-2015	301	163	72	48	5	4	7	2
18-6-2015	286	122	86	52	10	7	7	2
19-6-2015	316	157	71	58	8	9	5	8
