Day	Total	One	Two	Three	Four	Five	Six	Ranger
1-5-2015	43	16	7	7	6	3	0	4
2-5-2015	39	12	8	10	0	5	1	3
3-5-2015	48	17	12	10	4	2	0	3
4-5-2015	41	14	9	6	4	2	2	4
5-5-2015	39	15	13	5	3	0	0	3
6-5-2015	47	18	14	6	4	2	1	2
7-5-2015	41	16	10	5	7	0	2	1
8-5-2015	56	21	19	9	2	1	0	4
9-5-2015	48	19	16	3	3	4	0	3
10-5-2015	47	17	16	2	3	4	1	4
11-5-2015	53	22	11	10	4	1	1	4
12-5-2015	55	15	15	12	4	2	3	4
13-5-2015	55	16	21	6	6	2	1	3
14-5-2015	55	21	9	10	4	7	1	3
15-5-2015	58	18	19	9	4	4	0	4
16-5-2015	53	16	23	6	2	0	3	3
17-5-2015	47	16	16	6	4	2	0	3
18-5-2015	52	17	19	8	2	4	1	1
19-5-2015	52	18	18	6	6	2	0	2
20-5-2015	48	21	12	9	1	1	2	2
21-5-2015	55	23	14	7	5	1	1	4
22-5-2015	47	23	12	5	2	2	0	3
23-5-2015	56	19	20	9	3	1	1	3
24-5-2015	54	23	12	9	5	2	0	3
25-5-2015	54	20	14	7	7	2	0	4
26-5-2015	47	23	10	7	3	1	0	3
27-5-2015	47	22	10	11	1	0	0	3
28-5-2015	56	23	11	9	5	2	2	4
29-5-2015	52	15	17	9	5	2	0	4
30-5-2015	51	17	14	11	3	3	0	3
31-5-2015	52	18	15	7	1	6	2	3
1-6-2015	83	34	26	11	5	3	2	2
2-6-2015	95	39	24	21	5	2	0	4
3-6-2015	105	44	27	21	4	6	1	2
4-6-2015	121	52	30	22	5	5	4	3
5-6-2015	129	54	37	27	3	1	4	3
6-6-2015	129	54	47	19	4	1	1	3
7-6-2015	135	59	43	19	4	5	1	4
8-6-2015	128	63	32	18	7	3	3	2
9-6-2015	113	49	34	19	4	5	1	1
10-6-2015	126	55	37	18	8	1	2	5
11-6-2015	111	59	29	19	1	2	0	1
12-6-2015	133	68	36	20	1	2	3	3
13-6-2015	134	63	36	26	2	3	3	1
14-6-2015	133	66	34	21	2	2	5	3
15-6-2015	139	71	35	18	7	2	2	4
16-6-2015	140	63	35	24	4	9	1	4
17-6-2015	128	69	29	21	3	2	3	1
18-6-2015	129	53	41	22	6	4	2	1
19-6-2015	139	64	40	25	3	3	1	3
20-6-2015	160	75	46	29	2	1	4	3
21-6-2015	160	76	40	34	4	0	1	5
22-6-2015	142	60	42	29	7	2	0	2
23-6-2015	141	59	43	24	5	6	0	4
