Day	Total	1	2	3	4	5	6	2P
1-5-2015	4	0	0	0	0	0	0	4
2-5-2015	3	0	0	0	0	0	0	3
3-5-2015	3	0	0	0	0	0	0	3
4-5-2015	4	0	0	0	0	0	0	4
5-5-2015	3	0	0	0	0	0	0	3
6-5-2015	2	0	0	0	0	0	0	2
7-5-2015	1	0	0	0	0	0	0	1
8-5-2015	4	0	0	0	0	0	0	4
9-5-2015	3	0	0	0	0	0	0	3
10-5-2015	4	0	0	0	0	0	0	4
11-5-2015	4	0	0	0	0	0	0	4
12-5-2015	4	0	0	0	0	0	0	4
13-5-2015	3	0	0	0	0	0	0	3
14-5-2015	3	0	0	0	0	0	0	3
15-5-2015	4	0	0	0	0	0	0	4
16-5-2015	3	0	0	0	0	0	0	3
17-5-2015	3	0	0	0	0	0	0	3
18-5-2015	1	0	0	0	0	0	0	1
19-5-2015	2	0	0	0	0	0	0	2
20-5-2015	2	0	0	0	0	0	0	2
21-5-2015	4	0	0	0	0	0	0	4
22-5-2015	3	0	0	0	0	0	0	3
23-5-2015	3	0	0	0	0	0	0	3
24-5-2015	3	0	0	0	0	0	0	3
25-5-2015	4	0	0	0	0	0	0	4
26-5-2015	3	0	0	0	0	0	0	3
27-5-2015	3	0	0	0	0	0	0	3
28-5-2015	4	0	0	0	0	0	0	4
29-5-2015	4	0	0	0	0	0	0	4
30-5-2015	3	0	0	0	0	0	0	3
31-5-2015	3	0	0	0	0	0	0	3
1-6-2015	2	0	0	0	0	0	0	2
2-6-2015	4	0	0	0	0	0	0	4
3-6-2015	2	0	0	0	0	0	0	2
4-6-2015	3	0	0	0	0	0	0	3
5-6-2015	3	0	0	0	0	0	0	3
6-6-2015	3	0	0	0	0	0	0	3
7-6-2015	4	0	0	0	0	0	0	4
8-6-2015	2	0	0	0	0	0	0	2
9-6-2015	1	0	0	0	0	0	0	1
10-6-2015	5	0	0	0	0	0	0	5
11-6-2015	1	0	0	0	0	0	0	1
12-6-2015	3	0	0	0	0	0	0	3
13-6-2015	1	0	0	0	0	0	0	1
14-6-2015	3	0	0	0	0	0	0	3
15-6-2015	4	0	0	0	0	0	0	4
16-6-2015	4	0	0	0	0	0	0	4
17-6-2015	1	0	0	0	0	0	0	1
18-6-2015	1	0	0	0	0	0	0	1
19-6-2015	3	0	0	0	0	0	0	3
20-6-2015	3	0	0	0	0	0	0	3
21-6-2015	5	0	0	0	0	0	0	5
22-6-2015	2	0	0	0	0	0	0	2
23-6-2015	4	0	0	0	0	0	0	4
24-6-2015	1	0	0	0	0	0	0	1
25-6-2015	3	0	0	0	0	0	0	3
26-6-2015	2	0	0	0	0	0	0	2
27-6-2015	4	0	0	0	0	0	0	4
28-6-2015	4	0	0	0	0	0	0	4
29-6-2015	1	0	0	0	0	0	0	1
30-6-2015	2	0	0	0	0	0	0	2
1-7-2015	2	0	0	0	0	0	0	2
2-7-2015	2	0	0	0	0	0	0	2
3-7-2015	2	0	0	0	0	0	0	2
4-7-2015	2	0	0	0	0	0	0	2
5-7-2015	3	0	0	0	0	0	0	3
6-7-2015	1	0	0	0	0	0	0	1
7-7-2015	3	0	0	0	0	0	0	3
8-7-2015	3	0	0	0	0	0	0	3
9-7-2015	1	0	0	0	0	0	0	1
10-7-2015	1	0	0	0	0	0	0	1
