Day	Total	1	2	3	4	5	6	2P
1-5-2015	56	18	8	8	10	2	0	10
2-5-2015	51	16	8	10	0	4	0	13
3-5-2015	49	16	10	8	4	0	0	11
4-5-2015	61	12	12	8	6	2	4	17
5-5-2015	41	16	8	6	4	0	0	7
6-5-2015	59	26	16	4	2	4	0	7
7-5-2015	40	12	12	2	6	0	2	6
8-5-2015	62	22	16	12	0	2	0	10
9-5-2015	55	20	16	4	6	4	0	5
10-5-2015	65	18	14	4	0	8	0	21
11-5-2015	60	26	12	6	4	0	0	12
12-5-2015	85	18	16	18	6	2	6	19
13-5-2015	72	22	24	6	10	2	0	8
14-5-2015	71	24	10	12	4	10	2	9
15-5-2015	77	16	26	4	6	4	0	21
16-5-2015	64	20	22	8	4	0	2	8
17-5-2015	68	22	20	8	4	4	0	10
18-5-2015	51	14	16	6	4	6	2	3
19-5-2015	51	12	18	8	4	2	0	7
20-5-2015	60	28	10	8	2	2	0	10
21-5-2015	76	32	12	8	8	2	2	12
22-5-2015	60	22	16	4	4	4	0	10
23-5-2015	55	20	14	10	2	0	0	9
24-5-2015	69	24	14	14	4	4	0	9
25-5-2015	77	22	14	12	6	0	0	23
26-5-2015	45	18	12	4	0	2	0	9
27-5-2015	55	22	16	6	2	0	0	9
28-5-2015	71	26	8	8	6	4	4	15
29-5-2015	71	18	20	12	10	2	0	9
30-5-2015	55	22	10	10	4	0	0	9
31-5-2015	65	14	22	8	2	4	2	13
1-6-2015	109	38	32	14	6	6	2	11
2-6-2015	112	36	26	30	8	2	0	10
3-6-2015	109	52	18	24	2	8	0	5
4-6-2015	138	58	32	26	4	6	4	8
5-6-2015	136	46	36	22	4	0	4	24
6-6-2015	159	52	72	22	2	2	0	9
7-6-2015	135	66	30	14	4	10	2	9
8-6-2015	120	62	22	18	8	0	4	6
9-6-2015	119	46	36	20	6	2	2	7
10-6-2015	160	62	50	18	8	0	4	18
11-6-2015	132	64	30	26	0	4	0	8
12-6-2015	142	64	38	18	2	2	4	14
13-6-2015	141	62	36	28	2	4	4	5
14-6-2015	157	72	48	24	0	4	2	7
